insurance_company,recover_office_zip_code,damage_address_zip_code,office_distance,case_creation_year,case_creation_month,project_id
C,7327,7327,"8,8",2023,11,147474
C,1389,1387,"4,3",2022,6,147481
K,8400,8403,"2,7",2020,10,147483
C,2150,2160,7,2023,4,147485
N,3262,3265,"2,5",2021,3,147486
K,9024,9018,"7,1",2024,10,147488
C,2900,2900,9,2023,2,147490
C,283,368,"6,5",2023,5,147491
C,5033,5033,"1,2",2023,6,147492
J,3300,3031,"18,8",2023,2,147493
L,1850,1880,"6,3",2024,12,147495
J,5430,5417,"28,1",2020,4,147499
J,4515,4513,"8,7",2020,8,147500
E,8208,8250,"32,6",2022,5,147501
G,1807,1816,"16,3",2023,8,147504
C,7170,7170,"13,8",2021,8,147505
C,8370,8320,"77,8",2024,2,147506
J,1406,1406,"1,2",2024,9,147508
G,2406,2411,"10,6",2020,4,147509
N,3513,3512,8,2021,5,147510
C,5460,5460,"0,7",2022,4,147511
J,3718,3722,2,2022,9,147512
J,2019,2016,"6,2",2023,1,147515
D,6718,6723,"50,6",2024,9,147516
C,1599,1523,"6,2",2021,11,147517
C,283,367,"6,4",2022,10,147518
N,4735,4748,"76,8",2020,6,147521
C,7038,7029,"5,6",2021,8,147522
N,2019,1472,"7,4",2022,12,147523
C,1599,1580,"9,7",2023,5,147525
J,4848,4838,"5,2",2021,10,147526
N,8370,8370,"2,3",2021,4,147527
J,5911,5914,"10,1",2020,12,147530
J,3718,3732,"3,8",2021,2,147532
K,8402,8450,"28,3",2020,4,147539
J,4344,4353,11,2021,7,147540
G,2056,2050,"6,2",2025,5,147541
N,6100,6067,"32,8",2021,6,147542
N,1400,1188,"23,5",2021,7,147543
C,2056,2052,"3,5",2024,2,147546
J,8370,8300,"67,8",2022,6,147551
C,9409,9414,"4,2",2023,4,147552
E,4013,4307,"16,4",2024,9,147553
J,4013,4009,"2,9",2022,1,147554
K,7820,7856,"42,3",2021,8,147555
C,3157,3121,"9,5",2020,5,147559
G,7500,7503,"0,8",2022,1,147560
C,7038,7018,"11,8",2021,11,147562
K,3232,3201,"8,9",2022,2,147564
N,1406,1405,"5,9",2022,4,147565
J,8370,8370,"16,8",2020,5,147570
K,7900,7980,"76,6",2024,10,147571
F,4612,4617,"1,8",2024,11,147572
C,4735,4720,"21,9",2020,3,147578
D,4580,4580,"11,7",2025,2,147582
N,8012,8020,"10,7",2021,9,147583
C,283,260,"6,6",2022,10,147584
J,4848,4823,"9,1",2023,1,147585
C,7604,7604,"0,7",2020,7,147586
N,283,1364,"4,8",2023,10,147587
J,4370,4371,"1,4",2021,6,147588
J,1188,1263,"9,2",2024,1,147589
E,5147,5143,"1,3",2022,9,147590
N,7714,7724,"5,3",2021,4,147591
C,6783,6788,"26,8",2022,10,147592
G,3513,3519,9,2023,6,147594
C,2714,2770,"10,6",2019,9,147595
J,3219,3234,"3,4",2024,1,147596
G,4013,4010,2,2024,1,147599
C,3513,3550,"135,4",2019,8,147600
J,6900,6905,"2,1",2024,10,147604
J,3157,3170,"6,9",2022,10,147605
C,9845,9842,"47,8",2022,8,147606
J,7820,7802,"6,7",2020,11,147607
J,5412,5685,"35,4",2021,2,147610
J,2383,2312,"19,5",2024,4,147613
N,1188,1254,10,2020,9,147619
J,3138,3135,"2,9",2021,10,147621
J,1406,1406,"4,7",2022,5,147623
J,8613,8624,"4,4",2022,3,147627
J,6023,6011,"6,4",2021,8,147628
N,1188,488,12,2022,10,147630
J,6800,6810,"4,7",2023,2,147631
J,3232,3214,"3,6",2021,7,147632
N,4313,4070,"18,2",2022,10,147633
G,1739,1721,"5,8",2020,3,147636
J,2619,2653,"25,3",2024,11,147637
C,8402,8450,32,2023,2,147640
I,283,1344,"7,8",2021,11,147641
H,3735,3734,"2,3",2024,10,147642
C,283,276,"5,2",2022,10,147646
N,9845,9803,"51,4",2021,5,147647
J,4612,4637,"7,1",2024,1,147650
D,6770,6770,"1,1",2025,3,147652
C,5147,5063,"8,8",2020,9,147653
J,2714,2743,"26,8",2022,9,147654
J,4580,4521,"18,4",2023,1,147656
J,4013,4007,"3,6",2020,1,147657
F,1767,1768,"1,8",2020,7,147658
N,7900,7982,"73,6",2021,9,147660
C,8370,8310,"47,3",2020,3,147665
C,7503,7507,"3,7",2023,12,147667
C,5918,5918,"4,5",2024,6,147669
N,8006,8050,"22,7",2021,2,147672
J,1383,1389,"9,7",2022,10,147675
J,4612,4631,"3,6",2025,1,147677
J,7038,7035,2,2023,3,147682
E,3300,3340,26,2021,1,147683
J,1188,690,"2,8",2023,8,147687
E,6100,6110,"26,4",2024,7,147689
J,3114,3150,"3,4",2024,8,147690
E,6100,6092,46,2023,11,147692
K,3157,3189,"22,6",2021,2,147699
G,1618,1617,"2,4",2021,12,147701
D,8656,8656,"0,7",2021,4,147702
J,7714,7718,"26,3",2020,6,147703
K,7038,7057,"14,1",2021,1,147704
J,4013,4077,"4,9",2023,8,147705
E,2940,2985,"59,6",2025,5,147706
J,9409,9415,"6,9",2020,6,147708
K,2815,2870,"40,9",2025,6,147709
J,5537,4260,"5,4",2020,7,147710
C,7604,7602,"3,6",2020,3,147711
D,8402,8445,"41,9",2022,1,147713
N,4636,4629,"14,9",2021,8,147714
K,3157,3157,"3,5",2020,1,147716
J,8656,8892,"52,2",2022,12,147718
J,3219,3216,"5,5",2020,8,147720
G,7038,7027,6,2020,5,147721
N,4313,4317,"6,4",2021,6,147722
J,5147,5096,"11,1",2022,1,147724
N,2383,2315,"16,4",2021,9,147726
N,7820,7804,"3,5",2020,8,147730
N,2406,2420,"79,8",2023,4,147732
K,3718,3740,"7,1",2020,10,147733
J,7327,7332,"14,2",2022,5,147737
J,2383,2321,"17,5",2024,1,147740
H,2619,2636,"20,8",2023,8,147741
E,5147,5239,"12,8",2023,10,147744
K,7604,7657,"9,9",2024,2,147745
D,4636,4645,"24,6",2023,8,147746
K,7900,7900,2,2020,8,147747
J,4013,4028,"8,4",2022,6,147748
H,1618,1614,"7,2",2024,9,147750
N,6856,6868,"28,6",2020,7,147756
H,3513,3515,"1,8",2022,9,147757
J,9407,9406,"1,3",2021,3,147759
J,283,1353,"6,2",2020,11,147761
N,5147,5164,"10,2",2023,10,147763
J,1400,1450,"27,7",2019,11,147764
J,6100,6065,"32,5",2019,12,147766
J,2406,2270,"49,4",2021,2,147769
N,1599,1526,"6,8",2023,8,147770
C,7038,7015,"5,7",2020,1,147771
J,3262,3280,"6,7",2024,6,147773
J,975,787,"16,5",2019,9,147774
N,1739,1743,"5,9",2021,8,147775
E,2406,2480,94,2024,10,147776
J,8400,8406,"7,6",2021,2,147777
N,7604,7633,47,2022,6,147778
J,3219,3230,"7,5",2024,5,147779
J,4820,4820,"8,1",2020,3,147780
J,4370,4373,"3,1",2024,9,147784
C,8900,8900,"1,3",2021,10,147788
F,1850,1815,"14,3",2022,5,147792
C,1188,564,"9,8",2020,4,147796
N,3232,3280,"11,9",2020,8,147799
K,7038,7075,"3,3",2021,7,147802
J,4013,4009,"2,9",2024,12,147804
N,6100,6070,"33,1",2023,9,147805
C,4848,4821,"9,9",2023,1,147808
C,4013,4006,"0,8",2022,2,147809
K,1086,1170,"15,5",2023,8,147812
C,975,187,"8,2",2019,1,147814
K,7038,7021,"5,5",2022,7,147816
K,1086,1088,1,2023,8,147817
C,8012,8003,"5,6",2021,7,147818
G,4636,4708,"20,2",2020,2,147820
J,975,987,"5,6",2021,8,147821
N,3718,3712,"7,1",2020,11,147822
C,1618,1606,"6,7",2020,10,147825
J,1188,192,"7,7",2022,6,147826
C,5537,5545,"6,8",2022,5,147827
C,6023,6003,"15,3",2020,4,147829
K,8900,8909,"5,7",2025,4,147832
C,6718,6750,57,2023,2,147834
J,3262,3260,"2,1",2024,12,147837
D,5911,5960,65,2020,9,147843
D,5537,4262,"5,3",2023,9,147845
N,1400,1165,"23,1",2021,9,147847
D,4636,4658,"9,4",2024,9,147848
N,1406,1811,"28,5",2021,10,147849
D,6900,6900,"1,4",2020,7,147850
D,3735,3830,"24,2",2025,5,147852
J,2150,2080,"29,6",2022,6,147854
C,2940,2973,"16,6",2023,10,147855
N,9514,9610,"132,5",2022,4,147857
C,6023,6200,"47,1",2022,8,147859
E,5147,5174,"13,5",2022,7,147860
C,2900,2917,"7,1",2024,9,147861
D,7038,7071,"8,1",2019,12,147862
J,283,1350,"7,1",2020,12,147863
N,8370,8360,"5,4",2020,9,147864
J,8006,8149,"125,7",2025,1,147865
J,6100,6150,"10,7",2021,5,147866
C,4580,4580,"3,8",2020,11,147874
N,5911,5993,"21,6",2021,9,147875
J,5911,5953,"34,5",2020,9,147877
K,8803,8664,"42,9",2021,4,147883
N,5911,5957,"29,9",2021,9,147885
J,4013,4015,"2,5",2023,11,147888
J,7900,7970,22,2021,8,147889
J,6718,6700,"5,8",2024,10,147890
C,4276,4276,"2,8",2020,11,147891
K,7900,7900,"1,1",2021,8,147894
K,3718,3738,"7,7",2023,7,147897
J,2406,2345,"25,5",2023,4,147898
J,1400,1450,32,2020,7,147900
N,3414,1389,"21,4",2021,11,147902
C,1767,1792,"5,2",2024,9,147905
C,2770,2760,"19,2",2023,4,147906
C,1599,1529,7,2022,8,147908
J,1086,1470,"3,5",2025,4,147909
C,2211,2213,"2,2",2021,8,147911
K,9152,9153,"15,5",2020,12,147914
J,8613,8730,"77,2",2024,2,147915
J,2019,2004,"6,6",2023,8,147916
J,5360,5380,"18,6",2022,2,147918
N,283,1254,"29,9",2021,2,147920
C,7038,7043,"6,4",2023,10,147922
E,7604,7603,"1,8",2024,9,147926
J,6415,6310,"58,4",2023,9,147928
J,2383,2315,"14,7",2020,6,147933
N,3157,3145,"25,5",2022,1,147935
J,2019,2016,"12,8",2021,3,147937
C,283,1364,"4,4",2024,11,147941
C,2019,2016,"7,8",2022,2,147942
J,2940,2680,"107,5",2020,8,147944
J,3232,3220,"6,9",2021,4,147946
C,1086,1461,2,2024,2,147948
J,6718,6710,"10,9",2023,2,147949
D,4515,4520,"13,6",2022,10,147952
J,1850,1830,"13,1",2025,1,147953
J,5147,5141,"2,4",2023,8,147954
C,5412,5413,21,2023,7,147956
K,7038,7072,"7,9",2023,10,147963
F,1767,1793,"3,2",2021,2,147966
K,3232,3229,"8,1",2024,7,147973
J,2019,1487,"23,3",2025,5,147974
K,3157,3182,19,2024,6,147975
K,975,270,"14,7",2020,4,147978
C,4612,4631,"2,8",2024,2,147980
K,8613,8615,"15,3",2024,12,147983
N,3157,3184,"14,1",2020,12,147984
N,5147,5144,"2,5",2023,1,147986
J,975,671,"6,2",2020,1,147988
E,3513,3580,"162,9",2022,8,147991
J,7170,7113,32,2021,2,147992
J,1618,1663,"2,3",2020,7,147994
H,1599,1529,"6,3",2021,10,147998
C,6718,6717,"15,4",2022,1,147999
C,1684,1684,"1,3",2023,6,148003
N,3057,3404,"9,4",2022,8,148004
J,7900,7940,"11,9",2023,6,148005
E,5147,5099,13,2020,11,148009
H,2383,2355,"10,6",2020,9,148013
C,9152,9144,"74,3",2021,1,148018
D,8900,8900,"0,7",2022,9,148019
D,5360,5357,"10,5",2024,10,148021
J,9024,9010,"5,7",2021,12,148022
J,5147,5305,"17,8",2020,7,148025
J,2383,2827,"39,5",2024,11,148026
J,3735,3739,"17,5",2023,7,148028
J,6023,6010,"3,3",2020,1,148029
J,975,952,"2,1",2020,10,148030
J,5147,5300,"15,4",2020,3,148031
D,5911,5936,"13,2",2020,8,148032
N,1400,1405,"7,7",2022,1,148035
C,3550,3550,"6,3",2020,4,148037
N,7604,7632,"27,1",2021,6,148041
N,6100,6165,"19,3",2023,1,148043
C,1622,1624,"5,2",2023,2,148046
J,4313,4311,22,2021,12,148048
C,1767,1870,"24,8",2022,10,148050
K,8006,8014,"3,6",2023,2,148051
K,8006,8006,"3,4",2021,7,148052
J,5430,5437,"13,8",2022,3,148054
C,3114,3118,"4,5",2025,5,148055
J,5147,5224,"14,3",2020,8,148056
J,9845,9910,"137,8",2023,2,148057
C,283,274,"4,2",2021,10,148058
K,2815,2817,"3,6",2025,4,148059
K,1086,680,"11,4",2023,9,148060
C,2019,2007,"4,2",2023,3,148061
C,8006,8007,"4,2",2022,8,148062
C,6100,6102,"1,6",2020,9,148066
C,3550,3580,"52,4",2022,7,148071
J,8803,8844,"31,5",2021,7,148075
J,2150,2114,"19,2",2025,2,148076
J,2821,2864,"36,7",2021,3,148077
K,3232,3216,"7,7",2022,1,148079
C,5430,5430,"2,3",2022,3,148080
J,5537,5529,4,2025,2,148082
J,8208,8264,"82,3",2022,2,148083
C,5033,5038,"4,1",2023,2,148084
J,8370,8370,"1,4",2023,4,148088
N,7820,7800,"3,8",2021,11,148090
E,4612,4623,"5,6",2024,2,148092
N,3157,3116,"7,2",2020,5,148093
L,5460,5460,"1,2",2024,11,148096
C,8613,8615,"23,5",2024,3,148098
J,4612,4640,"15,5",2023,5,148100
D,6718,6718,4,2020,5,148101
C,2019,1466,"4,8",2024,6,148105
J,2019,1911,"23,9",2020,7,148108
D,4580,4560,"23,9",2020,10,148112
E,3513,3516,"7,9",2022,3,148113
J,2406,2407,"3,7",2022,6,148114
J,2619,2625,"14,8",2023,2,148116
N,9514,9602,"139,2",2020,11,148117
K,8613,8630,"22,4",2020,7,148118
J,9845,9950,"142,5",2024,8,148119
K,3157,3172,"8,8",2024,4,148121
C,7038,7040,10,2021,7,148122
J,5147,5099,15,2020,11,148123
C,1599,1528,"6,4",2025,2,148127
N,3550,3357,"64,9",2020,6,148129
J,4636,4628,"16,3",2020,2,148134
N,6100,6065,"32,7",2022,7,148135
E,7820,7804,"3,6",2020,11,148136
K,7820,7820,"0,8",2021,12,148137
E,2019,2034,"18,6",2020,9,148139
J,1618,1621,"11,2",2021,6,148141
C,2619,2609,"4,3",2022,10,148142
J,4636,4639,"10,9",2023,3,148145
C,2940,2953,"15,6",2021,5,148156
J,3157,3113,"9,5",2021,11,148157
